mhjd,mag_A,magerr_A,mag_B,magerr_B,mag_C,magerr_C,mag_D,magerr_D,telescope
53673.40500,-11.22841,0.01520,-10.55681,0.01820,-10.57101,0.01860,-10.42341,0.01720,Maidanak
53675.43000,-11.23901,0.00940,-10.55221,0.00960,-10.57821,0.00890,-10.45181,0.01460,Maidanak
53676.15939,-11.23621,0.01323,-10.54476,0.01323,-10.57606,0.01323,-10.44718,0.01323,Euler
53677.18773,-11.24575,0.01350,-10.54014,0.01350,-10.59441,0.01350,-10.42360,0.01350,Euler
53678.19347,-11.24828,0.01202,-10.53013,0.01202,-10.58561,0.01202,-10.44571,0.01202,Euler
53679.33700,-11.22571,0.00550,-10.54881,0.00700,-10.57001,0.00650,-10.44051,0.01000,Maidanak
53680.14955,-11.24091,0.01170,-10.54474,0.01170,-10.56946,0.01170,-10.43929,0.01170,Euler
53681.22508,-11.22598,0.01378,-10.54067,0.01378,-10.56890,0.01378,-10.43507,0.01378,Euler
53682.15025,-11.24716,0.01524,-10.53709,0.01524,-10.56030,0.01524,-10.45900,0.01524,Euler
53684.15545,-11.23375,0.01366,-10.56092,0.01366,-10.55427,0.01366,-10.44049,0.01366,Euler
53685.19556,-11.20660,0.01256,-10.52446,0.01256,-10.56807,0.01256,-10.41488,0.01256,Euler
53687.13032,-11.21004,0.01888,-10.53826,0.01888,-10.55621,0.01888,-10.44024,0.01888,Euler
53688.20281,-11.21326,0.01230,-10.52575,0.01230,-10.55343,0.01230,-10.41353,0.01230,Euler
53690.25222,-11.23131,0.00992,-10.50455,0.00992,-10.54929,0.00992,-10.42888,0.00992,Euler
53692.21761,-11.21236,0.01042,-10.52039,0.01042,-10.55912,0.01042,-10.43122,0.01042,Euler
53693.08860,-11.23043,0.01510,-10.51354,0.01510,-10.55716,0.01510,-10.43404,0.01510,Euler
53694.24837,-11.21315,0.01091,-10.51245,0.01091,-10.56157,0.01091,-10.41531,0.01091,Euler
53695.21883,-11.21400,0.01631,-10.51730,0.01631,-10.55321,0.01631,-10.40570,0.01631,Euler
53696.23405,-11.21878,0.01200,-10.52528,0.01200,-10.54381,0.01200,-10.40397,0.01200,Euler
